time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-17 00:00:00+00:00,2,2,43,8
2024-01-18 00:00:00+00:00,4,4,6,2
2024-01-19 00:00:00+00:00,5,5,8,3
2024-01-20 00:00:00+00:00,3,3,1,1
2024-01-21 00:00:00+00:00,4,4,3,2
2024-01-22 00:00:00+00:00,6,6,4,3
2024-01-23 00:00:00+00:00,4,4,34,8
2024-01-24 00:00:00+00:00,4,4,35,8
2024-01-25 00:00:00+00:00,5,5,12,6
2024-01-26 00:00:00+00:00,5,5,164,5
2024-01-27 00:00:00+00:00,4,4,48,4
2024-01-28 00:00:00+00:00,3,3,40,6
2024-01-29 00:00:00+00:00,39,7,41,8
2024-01-30 00:00:00+00:00,5,5,26,7
2024-01-31 00:00:00+00:00,36,12,55,13
2024-02-01 00:00:00+00:00,6,4,57,10
2024-02-02 00:00:00+00:00,68,9,98,11
2024-02-03 00:00:00+00:00,4,4,9,4
2024-02-04 00:00:00+00:00,6,4,12,2
2024-02-05 00:00:00+00:00,34,10,28,4
2024-02-06 00:00:00+00:00,4,4,9,5
2024-02-07 00:00:00+00:00,4,4,18,8
2024-02-08 00:00:00+00:00,4,4,19,5
2024-02-09 00:00:00+00:00,16,6,21,6
2024-02-10 00:00:00+00:00,5,5,12,3
2024-02-11 00:00:00+00:00,3,3,59,1
2024-02-12 00:00:00+00:00,5,5,108,9
2024-02-13 00:00:00+00:00,4,4,52,8
2024-02-14 00:00:00+00:00,84,12,41,9
2024-02-15 00:00:00+00:00,51,9,37,10
2024-02-16 00:00:00+00:00,4,4,27,7
2024-02-17 00:00:00+00:00,31,7,49,5
2024-02-18 00:00:00+00:00,7,5,9,5
2024-02-19 00:00:00+00:00,4,4,9,3
2024-02-20 00:00:00+00:00,5,5,104,6
2024-02-21 00:00:00+00:00,16,6,77,11
2024-02-22 00:00:00+00:00,22,10,23,7
2024-02-23 00:00:00+00:00,8,6,22,8
2024-02-24 00:00:00+00:00,5,5,1,1
2024-02-25 00:00:00+00:00,4,4,26,3
2024-02-26 00:00:00+00:00,6,6,23,6
2024-02-27 00:00:00+00:00,4,4,54,8
2024-02-28 00:00:00+00:00,4,4,10,5
2024-02-29 00:00:00+00:00,4,4,74,19
2024-03-01 00:00:00+00:00,3,3,30,13
2024-03-02 00:00:00+00:00,6,6,27,5
2024-03-03 00:00:00+00:00,5,5,1,1
2024-03-04 00:00:00+00:00,4,4,54,5
2024-03-05 00:00:00+00:00,5,5,22,3
2024-03-06 00:00:00+00:00,4,4,7,4
2024-03-07 00:00:00+00:00,4,4,14,2
2024-03-08 00:00:00+00:00,3,3,20,6
2024-03-09 00:00:00+00:00,4,4,1,1
2024-03-10 00:00:00+00:00,3,3,0,0
2024-03-11 00:00:00+00:00,4,4,36,3
2024-03-12 00:00:00+00:00,3,3,12,5
2024-03-13 00:00:00+00:00,3,3,3,2
2024-03-14 00:00:00+00:00,3,3,6,5
2024-03-15 00:00:00+00:00,3,3,6,4
2024-03-16 00:00:00+00:00,3,3,36,1
2024-03-17 00:00:00+00:00,2,2,5,2
2024-03-18 00:00:00+00:00,14,5,66,8
2024-03-19 00:00:00+00:00,2,2,82,4
2024-03-20 00:00:00+00:00,3,3,89,5
2024-03-21 00:00:00+00:00,4,4,11,7
2024-03-22 00:00:00+00:00,23,4,4,2
2024-03-23 00:00:00+00:00,4,4,25,3
2024-03-24 00:00:00+00:00,2,2,4,2
2024-03-25 00:00:00+00:00,34,5,44,5
2024-03-26 00:00:00+00:00,6,4,4,4
2024-03-27 00:00:00+00:00,6,4,3,3
2024-03-28 00:00:00+00:00,4,4,12,5
2024-03-29 00:00:00+00:00,13,4,20,4
2024-03-30 00:00:00+00:00,58,7,5,3
2024-03-31 00:00:00+00:00,8,6,1,1
